PresState	Received	NextState	Data
000(s2s1s0)	00(x1x0)	000(s2s1s0)	00000(y4y3y2y1y0)	
000		01		001		10110
000		10		010		11101
000		11		011		01011
001		00		100		11010
001		01		101		01100
001		10		110		00111
001		11		111		10001
010		00		000		00000	
010		01		001		10110	
010		10		010		11101
010		11		011		01011
011		00		100		11010
011		01		101		01100
011		10		110		00111
011		11		111		10001
100		00		000		00000
100		01		001		10110
100		10		010		11101
100		11		011		01011
101		00		100		11010
101		01		101		01100
101		10		110		00111
101		11		111		10001
110		00		000		00000
110		01		001		10110
110		10		010		11101
110		11		011		01011
111		00		100		11010
111		01		101		01100
111		10		110		00111
111		11		111		10001
